id	year	Unemployment(%)	Unemployment(%)_tip	Population(/1000)	Population(/1000)_tip	Temperature Change (Degree Change)	Temperature Change (Degree Change)_tip
6099	2011	0.15		153.00		15.30	
6101	2011	0.15		151.00		15.10	
6103	2011	0.14		137.00		13.70	
6105	2011	0.16		159.00		15.90	
6107	2011	0.15		149.00		14.90	
6109	2011	0.13		127.00		12.70	
6111	2011	0.11		110.00		11.00	
6113	2011	0.11		109.00		10.90	
6115	2011	0.18		178.00		17.80	
8001	2011	0.08		81.00		8.10	
8003	2011	0.06		55.00		5.50	
8005	2011	0.07		69.00		6.90	
8007	2011	0.06		62.00		6.20	
8009	2011	0.03		34.00		3.40	
8011	2011	0.05		50.00		5.00	
8013	2011	0.06		55.00		5.50	
8014	2011	0.07		66.00		6.60	
8015	2011	0.05		51.00		5.10	
8017	2011	0.02		20.00		2.00	
8019	2011	0.07		70.00		7.00	
8021	2011	0.05		51.00		5.10	
8023	2011	0.08		84.00		8.40	
8025	2011	0.08		76.00		7.60	
8027	2011	0.05		52.00		5.20	
8029	2011	0.07		66.00		6.60	
8031	2011	0.08		77.00		7.70	
8033	2011	0.13		132.00		13.20	
8035	2011	0.06		59.00		5.90	
8037	2011	0.06		62.00		6.20	
8039	2011	0.06		60.00		6.00	
8041	2011	0.07		72.00		7.20	
8043	2011	0.08		77.00		7.70	
8045	2011	0.06		58.00		5.80	
8047	2011	0.06		60.00		6.00	
8049	2011	0.06		58.00		5.80	
8051	2011	0.04		44.00		4.40	
8053	2011	0.02		22.00		2.20	
8055	2011	0.07		72.00		7.20	
8057	2011	0.03		33.00		3.30	
8059	2011	0.07		67.00		6.70	
8061	2011	0.03		28.00		2.80	
8063	2011	0.03		29.00		2.90	
8065	2011	0.07		71.00		7.10	
8067	2011	0.05		47.00		4.70	
8069	2011	0.06		56.00		5.60	
8071	2011	0.07		70.00		7.00	
8073	2011	0.04		37.00		3.70	
8075	2011	0.05		46.00		4.60	
8077	2011	0.08		82.00		8.20	
8079	2011	0.05		53.00		5.30	
8081	2011	0.06		56.00		5.60	
8083	2011	0.06		63.00		6.30	
8085	2011	0.07		69.00		6.90	
8087	2011	0.05		49.00		4.90	
8089	2011	0.06		58.00		5.80	
8091	2011	0.04		41.00		4.10	
8093	2011	0.06		61.00		6.10	
8095	2011	0.03		26.00		2.60	
8097	2011	0.05		50.00		5.00	
8099	2011	0.05		50.00		5.00	
8101	2011	0.08		75.00		7.50	
8103	2011	0.04		39.00		3.90	
8105	2011	0.05		48.00		4.80	
8107	2011	0.06		60.00		6.00	
8109	2011	0.08		78.00		7.80	
8111	2011	0.05		53.00		5.30	
8113	2011	0.04		42.00		4.20	
8115	2011	0.03		33.00		3.30	
8117	2011	0.06		58.00		5.80	
8119	2011	0.07		67.00		6.70	
8121	2011	0.03		32.00		3.20	
8123	2011	0.08		75.00		7.50	
8125	2011	0.03		26.00		2.60	
9001	2011	0.08		78.00		7.80	
9003	2011	0.09		88.00		8.80	
9005	2011	0.08		79.00		7.90	
9007	2011	0.07		67.00		6.70	
9009	2011	0.09		89.00		8.90	
9011	2011	0.08		76.00		7.60	
9013	2011	0.07		67.00		6.70	
9015	2011	0.09		90.00		9.00	
10001	2011	0.08		79.00		7.90	
10003	2011	0.09		86.00		8.60	
10005	2011	0.07		73.00		7.30	
11001	2011	0.12		117.00		11.70	
12001	2011	0.07		71.00		7.10	
12003	2011	0.11		114.00		11.40	
12005	2011	0.09		89.00		8.90	
12007	2011	0.08		83.00		8.30	
12009	2011	0.11		111.00		11.10	
12011	2011	0.10		98.00		9.80	
12013	2011	0.08		82.00		8.20	
12015	2011	0.13		127.00		12.70	
12017	2011	0.12		121.00		12.10	
12019	2011	0.10		98.00		9.80	
12021	2011	0.13		131.00		13.10	
12023	2011	0.09		90.00		9.00	
12027	2011	0.12		117.00		11.70	
12029	2011	0.12		123.00		12.30	
12031	2011	0.11		112.00		11.20	
12033	2011	0.10		98.00		9.80	
12035	2011	0.16		162.00		16.20	
12037	2011	0.07		71.00		7.10	
12039	2011	0.10		96.00		9.60	
12041	2011	0.10		100.00		10.00	
12043	2011	0.10		100.00		10.00	
12045	2011	0.10		98.00		9.80	
12047	2011	0.11		113.00		11.30	
12049	2011	0.13		126.00		12.60	
12051	2011	0.17		168.00		16.80	
12053	2011	0.14		138.00		13.80	
12055	2011	0.12		116.00		11.60	
12057	2011	0.12		115.00		11.50	
12059	2011	0.07		72.00		7.20	
12061	2011	0.15		152.00		15.20	
12063	2011	0.07		72.00		7.20	
12065	2011	0.09		85.00		8.50	
12067	2011	0.07		72.00		7.20	
12069	2011	0.12		123.00		12.30	
12071	2011	0.14		139.00		13.90	
12073	2011	0.07		72.00		7.20	
12075	2011	0.12		121.00		12.10	
12077	2011	0.05		53.00		5.30	
12079	2011	0.12		117.00		11.70	
12081	2011	0.13		127.00		12.70	
12083	2011	0.13		133.00		13.30	
12085	2011	0.12		119.00		11.90	
12086	2011	0.11		113.00		11.30	
12087	2011	0.07		70.00		7.00	
12089	2011	0.11		107.00		10.70	
12091	2011	0.07		72.00		7.20	
12093	2011	0.13		133.00		13.30	
12095	2011	0.11		114.00		11.40	
12097	2011	0.13		128.00		12.80	
12099	2011	0.12		117.00		11.70	
12101	2011	0.13		125.00		12.50	
12103	2011	0.11		112.00		11.20	
12105	2011	0.13		127.00		12.70	
12107	2011	0.12		122.00		12.20	
12109	2011	0.09		90.00		9.00	
12111	2011	0.15		153.00		15.30	
12113	2011	0.09		94.00		9.40	
12115	2011	0.12		123.00		12.30	
12117	2011	0.11		106.00		10.60	
12119	2011	0.09		90.00		9.00	
12121	2011	0.10		98.00		9.80	
12123	2011	0.10		104.00		10.40	
12125	2011	0.08		84.00		8.40	
12127	2011	0.12		117.00		11.70	
12129	2011	0.07		72.00		7.20	
12131	2011	0.07		68.00		6.80	
12133	2011	0.10		96.00		9.60	
13001	2011	0.10		97.00		9.70	
13003	2011	0.13		126.00		12.60	
13005	2011	0.09		85.00		8.50	
13007	2011	0.09		91.00		9.10	
13009	2011	0.12		116.00		11.60	
13011	2011	0.07		67.00		6.70	
13013	2011	0.11		111.00		11.10	
13015	2011	0.13		133.00		13.30	
13017	2011	0.15		153.00		15.30	
13019	2011	0.12		124.00		12.40	
13021	2011	0.10		100.00		10.00	
13023	2011	0.10		97.00		9.70	
13025	2011	0.12		116.00		11.60	
13027	2011	0.09		87.00		8.70	
13029	2011	0.08		81.00		8.10	
13031	2011	0.09		90.00		9.00	
13033	2011	0.12		122.00		12.20	
13035	2011	0.13		127.00		12.70	
13037	2011	0.11		111.00		11.10	
13039	2011	0.09		91.00		9.10	
13043	2011	0.09		93.00		9.30	
13045	2011	0.11		108.00		10.80	
13047	2011	0.08		80.00		8.00	
13049	2011	0.11		106.00		10.60	
13051	2011	0.09		85.00		8.50	
13053	2011	0.15		146.00		14.60	
13055	2011	0.11		114.00		11.40	
13057	2011	0.10		95.00		9.50	
13059	2011	0.07		70.00		7.00	
13061	2011	0.08		82.00		8.20	
13063	2011	0.12		123.00		12.30	
13065	2011	0.11		110.00		11.00	
13067	2011	0.10		96.00		9.60	
13069	2011	0.17		168.00		16.80	
13071	2011	0.09		90.00		9.00	
13073	2011	0.07		70.00		7.00	
13075	2011	0.12		119.00		11.90	
13077	2011	0.10		100.00		10.00	
13079	2011	0.10		95.00		9.50	
13081	2011	0.12		121.00		12.10	
13083	2011	0.09		90.00		9.00	
13085	2011	0.10		101.00		10.10	
13087	2011	0.13		127.00		12.70	
13089	2011	0.11		107.00		10.70	
13091	2011	0.11		112.00		11.20	
13093	2011	0.10		101.00		10.10	
13095	2011	0.11		111.00		11.10	
13097	2011	0.11		114.00		11.40	
13099	2011	0.11		105.00		10.50	
13101	2011	0.07		67.00		6.70	
13103	2011	0.08		79.00		7.90	
13105	2011	0.12		122.00		12.20	
13107	2011	0.10		103.00		10.30	
13109	2011	0.09		89.00		8.90	
13111	2011	0.10		100.00		10.00	
13113	2011	0.08		84.00		8.40	
13115	2011	0.11		111.00		11.10	
13117	2011	0.09		86.00		8.60	
13119	2011	0.12		118.00		11.80	
13121	2011	0.11		107.00		10.70	
13123	2011	0.10		98.00		9.80	
13125	2011	0.11		111.00		11.10	
13127	2011	0.08		82.00		8.20	
13129	2011	0.13		131.00		13.10	
13131	2011	0.10		98.00		9.80	
13133	2011	0.11		111.00		11.10	
13135	2011	0.09		94.00		9.40	
13137	2011	0.09		94.00		9.40	
13139	2011	0.09		91.00		9.10	
13141	2011	0.18		177.00		17.70	
13143	2011	0.11		113.00		11.30	
13145	2011	0.07		72.00		7.20	
13147	2011	0.14		138.00		13.80	
13149	2011	0.12		124.00		12.40	
13151	2011	0.10		104.00		10.40	
13153	2011	0.07		73.00		7.30	
13155	2011	0.15		145.00		14.50	
13157	2011	0.11		109.00		10.90	
13159	2011	0.13		127.00		12.70	
13161	2011	0.14		135.00		13.50	
13163	2011	0.15		149.00		14.90	
13165	2011	0.20		196.00		19.60	
13167	2011	0.12		119.00		11.90	
13169	2011	0.09		86.00		8.60	
13171	2011	0.15		153.00		15.30	
13173	2011	0.08		84.00		8.40	
13175	2011	0.11		108.00		10.80	
13177	2011	0.08		79.00		7.90	
13179	2011	0.09		85.00		8.50	
13181	2011	0.10		103.00		10.30	
13183	2011	0.06		59.00		5.90	
13185	2011	0.08		82.00		8.20	
13187	2011	0.11		111.00		11.10	
13189	2011	0.12		121.00		12.10	
13191	2011	0.10		96.00		9.60	
13193	2011	0.13		130.00		13.00	
13195	2011	0.08		83.00		8.30	
13197	2011	0.10		99.00		9.90	
13199	2011	0.13		132.00		13.20	
13201	2011	0.09		87.00		8.70	
13205	2011	0.10		104.00		10.40	
13207	2011	0.10		102.00		10.20	
13209	2011	0.09		85.00		8.50	
13211	2011	0.10		98.00		9.80	
13213	2011	0.12		123.00		12.30	
13215	2011	0.09		92.00		9.20	
13217	2011	0.13		126.00		12.60	
13219	2011	0.06		62.00		6.20	
13221	2011	0.08		82.00		8.20	
13223	2011	0.11		107.00		10.70	
13225	2011	0.10		102.00		10.20	
13227	2011	0.11		108.00		10.80	
13229	2011	0.09		93.00		9.30	
13231	2011	0.12		118.00		11.80	
13233	2011	0.11		108.00		10.80	
13235	2011	0.07		71.00		7.10	
13237	2011	0.10		104.00		10.40	
13239	2011	0.12		118.00		11.80	
13241	2011	0.10		104.00		10.40	
13243	2011	0.13		130.00		13.00	
13245	2011	0.10		103.00		10.30	
13247	2011	0.12		120.00		12.00	
13249	2011	0.14		138.00		13.80	
13251	2011	0.14		137.00		13.70	
13253	2011	0.11		107.00		10.70	
13255	2011	0.15		154.00		15.40	
13257	2011	0.11		107.00		10.70	
13259	2011	0.11		107.00		10.70	
13261	2011	0.13		129.00		12.90	
13263	2011	0.10		98.00		9.80	
13265	2011	0.12		124.00		12.40	
13267	2011	0.09		87.00		8.70	
13269	2011	0.13		130.00		13.00	
13271	2011	0.16		162.00		16.20	
13273	2011	0.12		116.00		11.60	
13275	2011	0.09		93.00		9.30	
13277	2011	0.11		106.00		10.60	
13279	2011	0.10		98.00		9.80	
13281	2011	0.08		78.00		7.80	
13283	2011	0.12		119.00		11.90	
13285	2011	0.13		129.00		12.90	
13287	2011	0.13		130.00		13.00	
13289	2011	0.11		114.00		11.40	
13291	2011	0.09		90.00		9.00	
13293	2011	0.13		133.00		13.30	
13295	2011	0.10		96.00		9.60	
13297	2011	0.11		110.00		11.00	
13299	2011	0.11		107.00		10.70	
13301	2011	0.19		188.00		18.80	
13303	2011	0.14		140.00		14.00	
13305	2011	0.12		117.00		11.70	
13307	2011	0.09		91.00		9.10	
13309	2011	0.09		91.00		9.10	
13311	2011	0.10		95.00		9.50	
13313	2011	0.13		125.00		12.50	
13315	2011	0.12		116.00		11.60	
13317	2011	0.12		117.00		11.70	
13319	2011	0.11		107.00		10.70	
13321	2011	0.11		108.00		10.80	
15001	2011	0.11		108.00		10.80	
15003	2011	0.06		63.00		6.30	
15007	2011	0.10		96.00		9.60	
15009	2011	0.10		97.00		9.70	
16001	2011	0.09		91.00		9.10	
16003	2011	0.12		121.00		12.10	
16005	2011	0.08		84.00		8.40	
16007	2011	0.05		52.00		5.20	
16009	2011	0.12		121.00		12.10	
16011	2011	0.06		59.00		5.90	
16013	2011	0.08		77.00		7.70	
16015	2011	0.07		71.00		7.10	
16017	2011	0.10		95.00		9.50	
16019	2011	0.06		59.00		5.90	
16021	2011	0.12		120.00		12.00	
16023	2011	0.05		45.00		4.50	
16025	2011	0.11		110.00		11.00	
16027	2011	0.11		106.00		10.60	
16029	2011	0.06		60.00		6.00	
16031	2011	0.06		59.00		5.90	
16033	2011	0.04		41.00		4.10	
16035	2011	0.12		118.00		11.80	
16037	2011	0.04		39.00		3.90	
16039	2011	0.08		77.00		7.70	
16041	2011	0.04		40.00		4.00	
16043	2011	0.07		66.00		6.60	
16045	2011	0.10		104.00		10.40	
16047	2011	0.06		55.00		5.50	
16049	2011	0.08		83.00		8.30	
16051	2011	0.07		68.00		6.80	
16053	2011	0.06		59.00		5.90	
16055	2011	0.09		87.00		8.70	
16057	2011	0.06		59.00		5.90	
16059	2011	0.07		65.00		6.50	
16061	2011	0.05		52.00		5.20	
16063	2011	0.10		97.00		9.70	
16065	2011	0.06		55.00		5.50	
16067	2011	0.06		60.00		6.00	
16069	2011	0.06		55.00		5.50	
16071	2011	0.05		50.00		5.00	
16073	2011	0.04		41.00		4.10	
16075	2011	0.08		77.00		7.70	
16077	2011	0.07		67.00		6.70	
16079	2011	0.12		119.00		11.90	
16081	2011	0.05		51.00		5.10	
16083	2011	0.07		68.00		6.80	
16085	2011	0.11		114.00		11.40	
16087	2011	0.08		84.00		8.40	
17001	2011	0.08		79.00		7.90	
17003	2011	0.11		112.00		11.20	
17005	2011	0.09		93.00		9.30	
17007	2011	0.14		138.00		13.80	
17009	2011	0.05		45.00		4.50	
17011	2011	0.11		109.00		10.90	
17013	2011	0.10		95.00		9.50	
17015	2011	0.11		105.00		10.50	
17017	2011	0.07		73.00		7.30	
17019	2011	0.08		82.00		8.20	
17021	2011	0.10		99.00		9.90	
17023	2011	0.13		131.00		13.10	
17025	2011	0.11		114.00		11.40	
17027	2011	0.08		79.00		7.90	
17029	2011	0.09		91.00		9.10	
17031	2011	0.11		106.00		10.60	
17033	2011	0.11		105.00		10.50	
17035	2011	0.10		97.00		9.70	
17037	2011	0.09		92.00		9.20	
17039	2011	0.09		92.00		9.20	
17041	2011	0.09		91.00		9.10	
17043	2011	0.09		86.00		8.60	
17045	2011	0.11		107.00		10.70	
17047	2011	0.09		91.00		9.10	
17049	2011	0.08		79.00		7.90	
17051	2011	0.12		116.00		11.60	
17053	2011	0.10		104.00		10.40	
17055	2011	0.15		146.00		14.60	
17057	2011	0.13		125.00		12.50	
17059	2011	0.11		110.00		11.00	
17061	2011	0.09		92.00		9.20	
17063	2011	0.11		114.00		11.40	
17065	2011	0.09		93.00		9.30	
17067	2011	0.11		113.00		11.30	
17069	2011	0.13		128.00		12.80	
17071	2011	0.09		94.00		9.40	
17073	2011	0.09		86.00		8.60	
17075	2011	0.10		100.00		10.00	
17077	2011	0.07		73.00		7.30	
17079	2011	0.10		95.00		9.50	
17081	2011	0.10		100.00		10.00	
17083	2011	0.09		88.00		8.80	
17085	2011	0.08		81.00		8.10	
17087	2011	0.10		104.00		10.40	
17089	2011	0.10		99.00		9.90	
17091	2011	0.13		128.00		12.80	
17093	2011	0.10		104.00		10.40	
17095	2011	0.10		103.00		10.30	
17097	2011	0.10		100.00		10.00	
17099	2011	0.12		124.00		12.40	
17101	2011	0.10		103.00		10.30	
17103	2011	0.11		109.00		10.90	
17105	2011	0.11		107.00		10.70	
17107	2011	0.10		95.00		9.50	
17109	2011	0.08		77.00		7.70	
17111	2011	0.09		93.00		9.30	
17113	2011	0.07		74.00		7.40	
17115	2011	0.12		124.00		12.40	
17117	2011	0.11		105.00		10.50	
17119	2011	0.10		97.00		9.70	
17121	2011	0.12		119.00		11.90	
17123	2011	0.11		106.00		10.60	
17125	2011	0.14		143.00		14.30	
17127	2011	0.08		80.00		8.00	
17129	2011	0.08		78.00		7.80	
17131	2011	0.09		89.00		8.90	
17133	2011	0.08		78.00		7.80	
17135	2011	0.12		122.00		12.20	
17137	2011	0.08		84.00		8.40	
17139	2011	0.09		90.00		9.00	
17141	2011	0.12		119.00		11.90	
17143	2011	0.12		116.00		11.60	
17145	2011	0.12		119.00		11.90	
17147	2011	0.08		82.00		8.20	
17149	2011	0.08		81.00		8.10	
17151	2011	0.11		106.00		10.60	
17153	2011	0.12		119.00		11.90	
17155	2011	0.15		150.00		15.00	
17157	2011	0.09		94.00		9.40	
17159	2011	0.11		105.00		10.50	
17161	2011	0.10		95.00		9.50	
17163	2011	0.11		108.00		10.80	
17165	2011	0.11		112.00		11.20	
17167	2011	0.08		79.00		7.90	
17169	2011	0.07		66.00		6.60	
17171	2011	0.08		75.00		7.50	
17173	2011	0.10		100.00		10.00	
17175	2011	0.10		98.00		9.80	
17177	2011	0.12		116.00		11.60	
17179	2011	0.11		113.00		11.30	
17181	2011	0.11		108.00		10.80	
17183	2011	0.12		120.00		12.00	
17185	2011	0.10		103.00		10.30	
17187	2011	0.08		80.00		8.00	
17189	2011	0.08		80.00		8.00	
17191	2011	0.10		97.00		9.70	
17193	2011	0.09		86.00		8.60	
17195	2011	0.11		106.00		10.60	
17197	2011	0.10		99.00		9.90	
17199	2011	0.10		96.00		9.60	
17201	2011	0.16		155.00		15.50	
17203	2011	0.09		86.00		8.60	
18001	2011	0.13		134.00		13.40	
18003	2011	0.09		93.00		9.30	
18005	2011	0.09		88.00		8.80	
18007	2011	0.09		90.00		9.00	
18009	2011	0.13		133.00		13.30	
18011	2011	0.07		68.00		6.80	
18013	2011	0.08		78.00		7.80	
18015	2011	0.10		99.00		9.90	
18017	2011	0.11		105.00		10.50	
18019	2011	0.08		82.00		8.20	
18021	2011	0.10		96.00		9.60	
18023	2011	0.09		92.00		9.20	
18025	2011	0.11		105.00		10.50	
18027	2011	0.05		49.00		4.90	
18029	2011	0.09		89.00		8.90	
18031	2011	0.11		110.00		11.00	
18033	2011	0.12		124.00		12.40	
18035	2011	0.10		95.00		9.50	
18037	2011	0.08		80.00		8.00	
18039	2011	0.15		150.00		15.00	
18041	2011	0.13		134.00		13.40	
18043	2011	0.07		74.00		7.40	
18045	2011	0.12		116.00		11.60	
18047	2011	0.09		89.00		8.90	
18049	2011	0.11		112.00		11.20	
18051	2011	0.07		67.00		6.70	
18053	2011	0.11		111.00		11.10	
18055	2011	0.07		71.00		7.10	
18057	2011	0.06		61.00		6.10	
18059	2011	0.08		78.00		7.80	
18061	2011	0.08		78.00		7.80	
18063	2011	0.07		68.00		6.80	
18065	2011	0.12		120.00		12.00	
18067	2011	0.12		119.00		11.90	
